"id_odpowiedzi","grupa","czestosc_korzystania","czas_wyszukiwania","pozycja_1","pozycja_2","pozycja_3","pozycja_4","pozycja_5","pozycja_6","powodzenie","kanal_1","kanal_2","kanal_3","kanal_4"
"o001","nowi",4,12.1,3,3,4,2,3,2,0,0,0,0,0
"o002","nowi",2,10.4,3,3,3,3,3,3,1,0,1,1,1
"o003","doświadczeni",3,5.8,4,4,3,5,4,4,1,1,1,1,1
"o004","doświadczeni",NA,16.1,4,4,2,4,4,5,1,0,0,0,1
"o005","doświadczeni",2,28,4,2,4,1,3,1,1,1,0,0,1
"o006","doświadczeni",5,6.3,5,4,1,5,5,4,0,0,1,1,1
"o007","nowi",5,8.1,5,5,2,5,4,5,0,1,0,0,0
"o008","nowi",4,24.4,3,3,3,4,3,3,1,1,0,1,0
"o009","nowi",4,18.4,3,3,4,3,2,3,1,0,0,0,1
"o010","doświadczeni",4,18.7,3,4,3,2,2,3,0,1,1,0,0
"o011","nowi",1,9.4,4,3,2,3,4,4,1,1,1,1,1
"o012","doświadczeni",1,16.3,NA,4,3,3,3,3,1,0,1,0,0
"o013","nowi",1,5.7,3,2,4,2,2,2,0,0,1,1,0
"o014","nowi",2,1.6,3,4,2,4,3,3,1,1,1,1,1
"o015","nowi",1,8.1,NA,4,3,3,5,3,1,1,1,1,0
"o016","nowi",4,22.9,3,3,2,4,4,4,1,1,0,0,1
"o017","doświadczeni",3,8.5,5,3,2,NA,4,3,1,0,1,1,1
"o018","doświadczeni",3,12.1,5,3,1,3,3,3,1,0,1,1,1
"o019","nowi",2,7.6,4,3,4,4,4,3,1,1,1,0,1
"o020","nowi",2,12.3,3,3,3,3,4,3,1,1,1,1,0
"o021","doświadczeni",1,7.8,2,3,NA,3,5,4,0,1,1,0,1
"o022","nowi",2,6.6,2,3,3,2,3,3,0,0,0,0,0
"o023","doświadczeni",3,12.5,3,4,3,3,NA,3,1,1,0,0,0
"o024","doświadczeni",3,8.9,4,99,2,3,3,5,1,1,1,0,0
"o025","nowi",4,13.8,3,3,3,3,3,3,1,1,1,0,1
"o026","doświadczeni",5,9.5,2,3,2,4,2,3,1,0,0,0,0
"o027","nowi",2,14.5,3,3,2,2,NA,3,1,1,1,0,0
"o028","doświadczeni",5,-5,2,3,3,4,3,4,1,1,1,1,0
"o029","nowi",1,8.2,2,4,4,4,2,2,0,1,1,0,0
"o030","nowi",4,5.8,3,4,3,3,4,3,1,NA,NA,NA,NA
"o031","doświadczeni",4,12.4,3,2,2,2,3,3,1,0,0,0,1
"o032","nowi",4,13.3,NA,2,4,2,4,3,1,1,1,1,0
"o033","nowi",3,21.4,4,3,NA,3,3,4,0,0,0,0,1
"o034","doświadczeni",2,5.8,4,3,1,3,4,4,1,1,0,0,1
"o035","nowi",1,8.2,3,2,3,2,3,NA,1,1,1,1,1
"o036","doświadczeni",4,6.9,3,2,4,3,3,2,1,1,0,0,0
"o037","doświadczeni",5,26.7,4,3,2,5,4,5,1,1,0,1,0
"o038","doświadczeni",3,4.8,3,4,4,3,3,3,1,1,1,0,0
"o039","doświadczeni",1,7.3,4,5,2,4,4,3,0,0,1,0,0
"o040","doświadczeni",2,13,4,3,3,3,NA,4,1,1,1,0,1
"o041","nowi",2,16.5,3,99,3,3,4,5,1,1,1,0,1
"o042","doświadczeni",2,15.7,4,3,2,3,2,3,1,0,0,0,1
"o043","doświadczeni",3,7.4,3,4,3,3,4,3,0,1,0,0,1
"o044","doświadczeni",3,5.8,5,4,2,3,4,NA,1,0,1,0,1
"o045","doświadczeni",5,3.6,5,4,1,4,5,5,1,1,0,0,1
"o046","nowi",2,NA,3,2,4,2,3,3,0,1,0,0,0
"o047","doświadczeni",3,NA,4,3,3,2,4,3,1,1,0,0,0
"o048","doświadczeni",4,999,5,5,1,5,5,5,1,1,0,1,0
"o049","nowi",3,7.1,3,2,3,3,1,3,1,1,0,0,1
"o050","doświadczeni",5,7.1,3,4,2,NA,2,3,1,0,1,0,0
"o051","doświadczeni",4,5.5,5,4,2,2,4,3,1,1,0,1,0
"o052","nowi",2,3.9,2,3,4,2,3,2,0,1,0,0,0
"o053","nowi",2,6.6,3,3,3,2,3,3,1,0,0,1,1
"o054","nowi",4,8.3,2,2,4,NA,2,3,1,0,1,1,0
"o055","doświadczeni",5,4.2,5,4,2,4,5,5,1,1,0,0,1
"o056","nowi",2,14.4,4,4,3,3,3,4,1,0,1,0,1
"o057","nowi",1,10.6,NA,2,3,4,4,4,1,1,1,0,0
"o058","doświadczeni",5,12.1,4,4,1,5,5,3,0,1,0,0,1
"o059","doświadczeni",3,1.8,4,3,3,3,2,4,1,1,1,1,1
"o060","nowi",4,3,3,4,2,4,4,4,1,0,1,0,0
"o061","nowi",4,10.2,4,4,3,4,5,4,1,0,0,0,0
"o062","nowi",2,33.8,2,3,4,2,2,2,0,1,0,0,0
"o063","doświadczeni",3,13.4,3,3,3,3,2,4,0,1,0,1,1
"o064","nowi",3,7.6,3,2,3,3,2,3,1,1,0,0,1
"o065","nowi",4,8.8,3,4,4,3,4,2,0,0,1,1,1
"o066","nowi",4,13.5,3,1,3,3,2,2,0,0,0,0,1
"o067","nowi",5,21.3,5,4,3,4,5,4,1,1,1,0,0
"o068","nowi",2,8.7,4,2,2,3,3,4,0,0,1,0,1
"o069","nowi",5,13,4,3,2,5,4,4,1,1,1,0,1
